Week,Average
611,180.44350698663186
612,181.973751572856
613,182.82612779954982
614,183.34640446503363
615,184.22712273746387
616,183.9905866683462
617,185.12805961656318
618,182.22714970008474
619,177.7670855662443
620,173.73098664628392
621,171.00498328736987
622,166.98416081385918
623,161.66263739184447
624,156.87171930462299
625,160.52013330553558
626,158.71728767351308
627,158.5920543570472
628,160.10362472142612
629,160.64744946688532
630,161.28806213157097
631,161.92365581826505
632,160.3365766624852
633,161.7903256626597
634,163.10775497532956
635,163.23011868742714
636,163.57654985595025
637,163.94668772531097
638,163.58502695188895
639,164.78176547018958
640,162.61467082517524
641,164.95223555220383
642,163.1675388764036
643,163.26551026969872
644,161.0725997991787
645,164.59919892772007
646,167.47272011649164
647,168.72603742576558
648,169.07404367923786
649,171.40301912286384
650,169.1763189594231
651,169.61469542273645
652,168.9132249382315
653,168.68910698421473
654,167.41737931216377
655,164.56996362666789
656,164.11536249751614
657,163.4623478023005
658,162.20047046041282
659,162.95063031684498
660,161.19819284363916
661,159.92927475004856
662,159.28948491572427
663,158.712412378548
664,157.1883515301437
665,158.5117516327522
666,159.56709603398724
667,161.04554505100418
668,160.2317100974366
669,159.90809832863053
670,159.6086058320009
671,160.11322453593053
672,163.03817035509942
673,160.3172041222242
674,157.84348234907253
675,154.98108128393133
676,153.14178606227273
677,153.69496650104878
678,153.18872254080412
679,154.3249687060269
680,156.86278542209715
681,157.30959238993938
682,158.86766097282276
683,159.56059570949967
684,157.93897398286254
685,153.9179478264362
686,149.38699308041578
687,154.15349642757974
688,148.2625649933466
689,153.10439828187532
690,150.70331479758272
691,149.5294371444664
692,149.78487516800416
693,149.47728836077673
694,149.35032895535247
695,146.4576199127268
696,143.43807569609422
697,145.12535139544673
698,146.53326998534305
699,146.52620889705236
700,145.69511783780675
701,143.87138148950336
702,144.32613022117008
703,146.29873073179795
704,145.19255921120924
705,143.90318417249088
706,143.88535629939534
707,146.09737645438324
708,146.04497912035538
709,150.01739076634826
710,146.25260264683686
711,143.71588268954883
712,141.5442585822201
713,144.0262665600378
714,147.66861663383358
715,143.94246243332648
716,147.48014089131757
717,150.43582909709028
718,147.97565361665377
719,147.76854984009006
720,147.51149004717806
721,144.975382119873
722,143.4348674262565
723,145.87113329670484
724,142.50852224342847
725,145.9889187170827
726,148.2940860162207
727,146.5225885901538
728,145.4929389791999
729,144.84274362593362
730,147.72256093232266
731,145.39975491534204
732,146.7675156911009
733,144.43959345363754
734,146.32207977604534
735,144.931896614664
736,144.28784638708117
737,145.1775262377031
738,145.19940537048424
739,147.07123411289038
740,144.72361729437006
741,142.56919177213686
742,143.19600130235344
743,142.53103499026363
744,142.39647313327615
745,143.50627945190854
746,142.64502397526917
747,143.80538115270326
748,143.4807285286701
749,143.45314059100775
750,144.92460478023523
751,144.1768491548071
752,143.48184305462655
753,143.1066200234891
754,145.47554441030508
755,143.29841900432066
756,140.74460633641118
757,142.91305563929632
758,139.50853177913874
759,139.96550689317422
760,140.47886868514473
761,141.4298375270742
762,140.4490571336593
763,142.222806822842
764,142.09382351651317
765,141.38446773985822
766,141.3506145455931
767,140.8746807846186
768,140.62578418745534
769,139.49513981658714
770,140.27050883837487
771,139.17261479508727
772,138.22511538748273
773,139.52242699445645
774,139.89859735083877
